valence,s_ns,id,message
positive,nonsocial,101,It is never too late to start taking care of the body you have. You can start lengthening your life and preventing aches and pains from day one!
positive,nonsocial,102,"As you become more active, your bones will grow stronger. Stronger bones will help you stay pain free."
positive,nonsocial,103,People sometimes think that an active lifestyle is hard to achieve. Remember that health benefits can come from as little as one hour per week of physical activity. That's less than ten minutes per day to extend your life!
positive,nonsocial,104,Even short walks can help relieve stress and strengthen bones and muscles.
positive,nonsocial,105,Active people tend to live longer than less physically active people. You can live longer and healthier by becoming more active.
positive,nonsocial,106,Regular physical activity will help you live independently for a longer time without needing a wheelchair or other assistance.
positive,nonsocial,107,Physical activity may enhance your balance and make you less likely to experience a fall.
positive,nonsocial,108,"Walking around for just ten minutes provides many physical and psychological benefits, such as stronger muscles and a better mood!"
positive,nonsocial,109,"The earlier you invest in your health, the more it will pay off by preventing disease and extending your life."
positive,nonsocial,110,"To exercise or not to exercise? The answer is simple! Regular exercise helps every part of your body stay healthy, including your muscles, bones, brain, and even your skin."
positive,nonsocial,111,Regular physical activity will help keep your bones and muscles strong and your joints flexible.
positive,nonsocial,112,"Not only does exercise keep the body young, but it also keeps the mind sharp and promotes emotional well-being."
positive,nonsocial,113,"Aerobic workouts help maintain strong lungs and a healthy heart. They can be done by a simple jog or walk, yard work, and even dancing!"
positive,nonsocial,114,Even a small amount of activity has noticeable benefits for your mood and overall physical health!
positive,nonsocial,115,"Being active improves your physical strength, morale, and self-esteem."
positive,nonsocial,116,Regular physical activity will give you higher energy levels throughout the day.
positive,nonsocial,117,Being active at any age has overall health benefits and can lengthen your life. It is never too late or too early to start being active.
positive,nonsocial,118,"Regular physical activity can reduce your risk of injury by building and maintaining healthy bones, muscles, and joints."
positive,nonsocial,119,"It is never too late to start being active. The instant you start exercising, you will have a clearer mind and increased energy levels."
positive,nonsocial,120,Focus on reasons to get up and walk during the day. Walking helps keep your heart and lungs healthy.
negative,nonsocial,201,People who are insufficiently active have a 20% to 30% increased risk of death compared to people who are sufficiently active.
negative,nonsocial,202,Physical inactivity can increase the amount of aches and pains you feel as you age.
negative,nonsocial,203,"Lack of physical activity can increase the risks of heart disease, obesity, strokes, diabetes, cancers, and depression."
negative,nonsocial,204,"If you continue sitting most of the time, your muscles will become weak."
negative,nonsocial,205,Too much sitting overall and prolonged periods of sitting can increase the risk of death from cardiovascular disease and cancer.
negative,nonsocial,206,Inadequate levels of physical activity increase the risk of falls as well as hip or vertebral fractures.
negative,nonsocial,207,Take some time to be more active. You'll wish you had more time later on.
negative,nonsocial,208,"Inadequate levels of physical activity increase the risk of hypertension, coronary heart disease, stroke, diabetes, cancer, and depression."
negative,nonsocial,209,Walking is a gift that not everyone is blessed with. Don't give that gift up.
negative,nonsocial,210,Being sedentary can shrink the brain's memory areas over time.
negative,nonsocial,211,Physical inactivity causes conditions like high blood pressure that can lead to heart attack and stroke later in life.
negative,nonsocial,212,"Sitting in front of a computer for a long time can result in high blood pressure, damaging your health."
negative,nonsocial,213,Weak muscles make it difficult for you to get around and do the things you enjoy.
negative,nonsocial,214,Avoid long periods of sitting in front of a TV or computer because doing this can hurt your health and contrbute to muscle atrophy.
negative,nonsocial,215,Spending lots of time sitting and watching TV makes you more likely to die from heart disease.
negative,nonsocial,216,"You only get one body. If you don't maintain it with exercise, you will live a shorter life and get sick more often as you age."
negative,nonsocial,217,"Your body will be with you for decades. If you abuse it, you must be prepared for poor health and a lack of energy."
negative,nonsocial,218,"If you wait to start exercising until ""tomorrow"", tomorrow can turn into weeks, months or years. There's no time to waste. Every day of sedentary living is dangerous for your heart and shortens your life."
negative,nonsocial,219,"A lack of exercise robs the body of its essential ingredients! You need exercise to maintain energy levels, to sleep well, and to live a long life."
negative,nonsocial,220,Inactive people tend to die sooner than active people.
positive,social,301,Make sure to stay active so that you maintain your ability to walk comfortably. This mobility will help you stay connected with friends and family as you age.
positive,social,302,"Physical activity will keep your body healthy, meaning you can maintain your independence as you age. You won't have to rely on help from others to complete daily tasks and bodily functions."
positive,social,303,It is never too late to start being active. Being active at any age can lengthen your life and give you more time with loved ones.
positive,social,304,"As you become more active, your bones will grow stronger. Having a support network can help you stay physically active. Be active with friends and family and get stronger together!"
positive,social,305,"Remaining physically active at any age can help prevent osteoporosis, a common disease that occurs as bones thin with age. Think about maintaining your mobility because it allows you to spend time with your loved ones even as you age."
positive,social,306,"Instead of watching TV with family or friends, why not take a walk or jog? Spending less time in front of the TV can strengthen your heart and help you live longer and healthier."
positive,social,307,Exercise is good for your mind and can also help you stick around longer for the important people in your life. Who are three people you want to stay around to support?
positive,social,308,Walking helps keep your heart and lungs healthy. Set aside some time to just walk around. You can invite your family and friends to join in as well.
positive,social,309,Take some time to be more active. Physical activity at any age helps extend your life. Later you'll appreciate the extra years on your life to spend with family and friends.
positive,social,310,"Even a small increase in physical activity can have tangible benefits with regard to your mood and overall health, and it provides a way to spend time with family and friends."
positive,social,311,Physical activity reduces the risk for heart disease and stroke. This means you can live longer and spend more time enjoying your later years with friends and family.
positive,social,312,"Walking improves mood, relieves stress, and strengthens your muscles. When you go out with friends or family, visit places where you can walk around, like a mall, park, or museum."
positive,social,313,You can live longer and enjoy the things you love if you sit less. You will spend more time with the people you love.
positive,social,314,Invite friends or family to join you on a walk. Even short walks can help relieve stress and strengthen bones and muscles. Plus it's hard to break a commitment to someone else.
positive,social,315,"Regular physical activity can help you sleep better, giving you more energy to enjoy quality time with friends and family."
positive,social,316,Every minute you invest in your health is another minute you get to spend with your loved ones!
positive,social,317,"Regular exercise helps every part of your body stay healthy, including your muscles, bones, brain, and even your skin. If you plan to exercise with a friend, it becomes a commitment you can't skip. This is a great way to motivate both of you to stay active."
positive,social,318,"Being physically active can make daily tasks easier to perform, leaving you with more energy to spend time with friends and family."
positive,social,319,In a bad mood? Try taking a walk with a friend! Walking has been shown to help you clear your mind and improve your mood.
positive,social,320,"Being active improves your memory, which can help you remember your happiest moments with friends and family."
negative,social,401,"Physical inactivity can make daily tasks harder to perform, leaving you with no energy to spend time with friends and family."
negative,social,402,Being sedentary can shrink the brain's memory areas with age. Don't let your recollections of loved ones slip away.
negative,social,403,Losing your independence due to poor health will impose an emotional and financial burden on your loved ones to care for you.
negative,social,404,You are more likely to die early if you stay inactive. You will miss out on the people who mean most to you in life.
negative,social,405,Sitting in front of a computer or on your phone for a long time can damage your health. Don't let the Internet and phone become your only means of interaction with your friends and family.
negative,social,406,An inactive lifestyle can worsen your memory as you get older. You may later struggle to remember the names and faces of loved ones.
negative,social,407,A lack of physical activity can increase the risk of dementia. Not being able to remember your loved ones or moving to a nursing home will be emotionally and financially difficult for your family.
negative,social,408,Every choice you make today can affect your health tomorrow; don't let a sedentary lifestyle shorten your life. Think of all the people you would leave behind.
negative,social,409,Physical inactivity increases the risk of depression and anxiety. Your loved ones want you to be happy as you age.
negative,social,410,You would feel bad for a loved one that was feeling down about their health. Don't put the people around you in that position. Inactivity can reduce your health and mental sharpness.
