onset	duration	trial	trial_type	rating	resp_time	valence	s_ns	id
10.090619847775542	4	1	iti	1	1.802	negative	social	neg_soc_417
14.104650290926202	8	1	message	1	1.802	negative	social	neg_soc_417
22.1207066282318	5	1	rating	1	1.802	negative	social	neg_soc_417
27.197334805950504	3	2	iti	6	0.728	positive	nonsocial	pos_nonsoc_107
30.203330095589536	8	2	message	6	0.728	positive	nonsocial	pos_nonsoc_107
38.219344238646045	5	2	rating	6	0.728	positive	nonsocial	pos_nonsoc_107
43.30461311437148	4	3	iti	6	1.327	positive	social	pos_soc_301
47.31854405892136	8	3	message	6	1.327	positive	social	pos_soc_301
55.3345636188069	5	3	rating	6	1.327	positive	social	pos_soc_301
60.40159260483051	6	4	iti	6	1.128	negative	social	neg_soc_409
66.41692964422555	8	4	message	6	1.128	negative	social	neg_soc_409
74.43295062959214	5	4	rating	6	1.128	negative	social	neg_soc_409
79.49385916871051	5	5	iti	0	2.96	negative	nonsocial	neg_nonsoc_215
84.4987300386274	8	5	message	0	2.96	negative	nonsocial	neg_nonsoc_215
92.51475102399445	5	5	rating	0	2.96	negative	nonsocial	neg_nonsoc_215
97.59006775883245	3	6	iti	10	3.361	positive	nonsocial	pos_nonsoc_108
100.59732573988867	8	6	message	10	3.361	positive	nonsocial	pos_nonsoc_108
108.6133937661416	5	6	rating	10	3.361	positive	nonsocial	pos_nonsoc_108
113.68490902720305	3	7	iti	6	1.395	negative	social	neg_soc_401
116.6959738988653	8	7	message	6	1.395	negative	social	neg_soc_401
124.71202082799346	5	7	rating	6	1.395	negative	social	neg_soc_401
129.8105669225024	5	8	iti	6	4.728	positive	social	pos_soc_302
134.81114110640738	8	8	message	6	4.728	positive	social	pos_soc_302
142.82715524946343	5	8	rating	6	4.728	positive	social	pos_soc_302
147.92862072986327	4	9	iti	1	1.528	negative	social	neg_soc_407
151.9430252193315	8	9	message	1	1.528	negative	social	neg_soc_407
159.95903993258025	5	9	rating	1	1.528	negative	social	neg_soc_407
165.0249915397676	6	10	iti	3	1.227	negative	nonsocial	neg_nonsoc_217
171.04140766857654	8	10	message	3	1.227	negative	nonsocial	neg_nonsoc_217
179.05742437749905	5	10	rating	3	1.227	negative	nonsocial	neg_nonsoc_217
184.10705621841998	4	11	iti	4	1.078	negative	nonsocial	neg_nonsoc_207
188.12326251636796	8	11	message	4	1.078	negative	nonsocial	neg_nonsoc_207
196.1393142921329	5	11	rating	4	1.078	negative	nonsocial	neg_nonsoc_207
201.22355397029332	4	12	iti	6	0.562	positive	social	pos_soc_313
205.23851354221551	8	12	message	6	0.562	positive	social	pos_soc_313
213.25452882565696	5	12	rating	6	0.562	positive	social	pos_soc_313
218.3249322112324	2	13	iti	8	2.96	positive	nonsocial	pos_nonsoc_105
220.33719933390103	8	13	message	8	2.96	positive	nonsocial	pos_nonsoc_105
228.35325110966596	5	13	rating	8	2.96	positive	nonsocial	pos_nonsoc_105
