Unnamed: 0,timestamp,unix_timestamp,sub,valence,s_ns,id,message,combined_msg
0,2019-12-11 10:39:00,1576078740,1109,negative,social,413,"""Physical inactivity will make you lose independence. A lack of freedom and autonomy can render you unable to contribute to your family and community.""","""Physical inactivity will make you lose independence. A lack of freedom and autonomy can render you unable to contribute to your family and community. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
1,2019-12-12 09:10:00,1576159800,1109,negative,nonsocial,217,"""Your body will be with you for decades. If you abuse it, you must be prepared for poor health and a lack of energy.""","""Your body will be with you for decades. If you abuse it, you must be prepared for poor health and a lack of energy. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
2,2019-12-13 08:20:00,1576243200,1109,positive,social,307,"""Exercise is good for your mind and can also help you stick around longer for the important people in your life. Who are three people you want to stay around to support?""","""Exercise is good for your mind and can also help you stick around longer for the important people in your life. Who are three people you want to stay around to support? 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
3,2019-12-14 09:17:00,1576333020,1109,negative,nonsocial,211,"""Physical inactivity causes conditions like high blood pressure that can lead to heart attack and stroke later in life.""","""Physical inactivity causes conditions like high blood pressure that can lead to heart attack and stroke later in life. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
4,2019-12-15 09:54:00,1576421640,1109,positive,nonsocial,114,"""Even a small amount of activity has noticeable benefits for your mood and overall physical health!""","""Even a small amount of activity has noticeable benefits for your mood and overall physical health! 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
5,2019-12-16 10:36:00,1576510560,1109,negative,social,412,"""Inactive lifestyle choices like sitting for long periods of time are barriers between you and a long life. Don't voluntarily give up precious time with loved ones by making poor health decisions.""","""Inactive lifestyle choices like sitting for long periods of time are barriers between you and a long life. Don't voluntarily give up precious time with loved ones by making poor health decisions. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
6,2019-12-17 09:15:00,1576592100,1109,negative,social,405,"""Sitting in front of a computer or on your phone for a long time can damage your health. Don't let the Internet and phone become your only means of interaction with your friends and family.""","""Sitting in front of a computer or on your phone for a long time can damage your health. Don't let the Internet and phone become your only means of interaction with your friends and family. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
7,2019-12-18 09:26:00,1576679160,1109,positive,nonsocial,105,"""Active people tend to live longer than less physically active people. You can live longer and healthier by becoming more active.""","""Active people tend to live longer than less physically active people. You can live longer and healthier by becoming more active. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
8,2019-12-19 09:56:00,1576767360,1109,negative,nonsocial,209,"""Walking is a gift that not everyone is blessed with. Don't give that gift up.""","""Walking is a gift that not everyone is blessed with. Don't give that gift up. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
9,2019-12-20 10:21:00,1576855260,1109,positive,nonsocial,110,"""To exercise or not to exercise? The answer is simple! Regular exercise helps every part of your body stay healthy, including your muscles, bones, brain, and even your skin.""","""To exercise or not to exercise? The answer is simple! Regular exercise helps every part of your body stay healthy, including your muscles, bones, brain, and even your skin. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
10,2019-12-21 08:39:00,1576935540,1109,negative,nonsocial,204,"""If you continue sitting most of the time, your muscles will become weak.""","""If you continue sitting most of the time, your muscles will become weak. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
11,2019-12-22 09:21:00,1577024460,1109,positive,social,302,"""Physical activity will keep your body healthy, meaning you can maintain your independence as you age. You won't have to rely on help from others to complete daily tasks and bodily functions.""","""Physical activity will keep your body healthy, meaning you can maintain your independence as you age. You won't have to rely on help from others to complete daily tasks and bodily functions. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
12,2019-12-23 10:37:00,1577115420,1109,negative,social,404,"""You are more likely to die early if you stay inactive. You will miss out on the people who mean most to you in life.""","""You are more likely to die early if you stay inactive. You will miss out on the people who mean most to you in life. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
13,2019-12-24 09:24:00,1577197440,1109,positive,nonsocial,113,"""Aerobic workouts help maintain strong lungs and a healthy heart. They can be done by a simple jog or walk, yard work, and even dancing!""","""Aerobic workouts help maintain strong lungs and a healthy heart. They can be done by a simple jog or walk, yard work, and even dancing! 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
14,2019-12-25 08:36:00,1577280960,1109,negative,nonsocial,210,"""Being sedentary can shrink the brain's memory areas over time.""","""Being sedentary can shrink the brain's memory areas over time. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
15,2019-12-26 09:06:00,1577369160,1109,positive,nonsocial,111,"""Regular physical activity will help keep your bones and muscles strong and your joints flexible.""","""Regular physical activity will help keep your bones and muscles strong and your joints flexible. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
16,2019-12-27 10:16:00,1577459760,1109,positive,nonsocial,106,"""Regular physical activity will help you live independently for a longer time without needing a wheelchair or other assistance.""","""Regular physical activity will help you live independently for a longer time without needing a wheelchair or other assistance. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
17,2019-12-28 08:31:00,1577539860,1109,negative,nonsocial,203,"""Lack of physical activity can increase the risks of heart disease, obesity, strokes, diabetes, cancers, and depression.""","""Lack of physical activity can increase the risks of heart disease, obesity, strokes, diabetes, cancers, and depression. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
18,2019-12-29 09:15:00,1577628900,1109,negative,social,406,"""An inactive lifestyle can worsen your memory as you get older. You may later struggle to remember the names and faces of loved ones.""","""An inactive lifestyle can worsen your memory as you get older. You may later struggle to remember the names and faces of loved ones. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
19,2019-12-30 08:18:00,1577711880,1109,negative,nonsocial,214,"""Avoid long periods of sitting in front of a TV or computer because doing this can hurt your health and contrbute to muscle atrophy.""","""Avoid long periods of sitting in front of a TV or computer because doing this can hurt your health and contrbute to muscle atrophy. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
