valence,s_ns,id,message
positive,nonsocial,114,Even a small amount of activity has noticeable benefits for your mood and overall physical health!
positive,nonsocial,118,"Regular physical activity can reduce your risk of injury by building and maintaining healthy bones, muscles, and joints."
positive,nonsocial,103,People sometimes think that an active lifestyle is hard to achieve. Remember that health benefits can come from as little as one hour per week of physical activity. That's less than ten minutes per day to extend your life!
positive,nonsocial,106,Regular physical activity will help you live independently for a longer time without needing a wheelchair or other assistance.
positive,nonsocial,117,Being active at any age has overall health benefits and can lengthen your life. It is never too late or too early to start being active.
positive,nonsocial,102,"As you become more active, your bones will grow stronger. Stronger bones will help you stay pain free."
positive,nonsocial,113,"Aerobic workouts help maintain strong lungs and a healthy heart. They can be done by a simple jog or walk, yard work, and even dancing!"
positive,nonsocial,115,"Being active improves your physical strength, morale, and self-esteem."
positive,nonsocial,110,"To exercise or not to exercise? The answer is simple! Regular exercise helps every part of your body stay healthy, including your muscles, bones, brain, and even your skin."
positive,nonsocial,116,Regular physical activity will give you higher energy levels throughout the day.
negative,nonsocial,208,"Inadequate levels of physical activity increase the risk of hypertension, coronary heart disease, stroke, diabetes, cancer, and depression."
negative,nonsocial,213,Weak muscles make it difficult for you to get around and do the things you enjoy.
negative,nonsocial,214,Avoid long periods of sitting in front of a TV or computer because doing this can hurt your health and contrbute to muscle atrophy.
negative,nonsocial,210,Being sedentary can shrink the brain's memory areas over time.
negative,nonsocial,202,Physical inactivity can increase the amount of aches and pains you feel as you age.
negative,nonsocial,219,"A lack of exercise robs the body of its essential ingredients! You need exercise to maintain energy levels, to sleep well, and to live a long life."
negative,nonsocial,220,Inactive people tend to die sooner than active people.
negative,nonsocial,216,"You only get one body. If you don't maintain it with exercise, you will live a shorter life and get sick more often as you age."
negative,nonsocial,212,"Sitting in front of a computer for a long time can result in high blood pressure, damaging your health."
negative,nonsocial,211,Physical inactivity causes conditions like high blood pressure that can lead to heart attack and stroke later in life.
positive,social,307,Exercise is good for your mind and can also help you stick around longer for the important people in your life. Who are three people you want to stay around to support?
positive,social,315,"Regular physical activity can help you sleep better, giving you more energy to enjoy quality time with friends and family."
positive,social,306,"Instead of watching TV with family or friends, why not take a walk or jog? Spending less time in front of the TV can strengthen your heart and help you live longer and healthier."
positive,social,311,Physical activity reduces the risk for heart disease and stroke. This means you can live longer and spend more time enjoying your later years with friends and family.
positive,social,318,"Being physically active can make daily tasks easier to perform, leaving you with more energy to spend time with friends and family."
positive,social,304,"As you become more active, your bones will grow stronger. Having a support network can help you stay physically active. Be active with friends and family and get stronger together!"
positive,social,309,Take some time to be more active. Physical activity at any age helps extend your life. Later you'll appreciate the extra years on your life to spend with family and friends.
positive,social,314,Invite friends or family to join you on a walk. Even short walks can help relieve stress and strengthen bones and muscles. Plus it's hard to break a commitment to someone else.
positive,social,310,"Even a small increase in physical activity can have tangible benefits with regard to your mood and overall health, and it provides a way to spend time with family and friends."
positive,social,319,In a bad mood? Try taking a walk with a friend! Walking has been shown to help you clear your mind and improve your mood.
negative,social,408,Every choice you make today can affect your health tomorrow; don't let a sedentary lifestyle shorten your life. Think of all the people you would leave behind.
negative,social,419,"A lack of activity will decrease your stamina and weaken muscles. Eventually, you'll miss social outings with friends and family."
negative,social,413,Physical inactivity will make you lose independence. A lack of freedom and autonomy can render you unable to contribute to your family and community.
negative,social,418,The ability to walk is a gift. Make sure to stay active so that you will never lose it. Loss of mobility can make it difficult for you to stay connected with friends and family as you age.
negative,social,412,Inactive lifestyle choices like sitting for long periods of time are barriers between you and a long life. Don't voluntarily give up precious time with loved ones by making poor health decisions.
negative,social,404,You are more likely to die early if you stay inactive. You will miss out on the people who mean most to you in life.
negative,social,411,"Being sedentary can shrink the brain's memory areas with age. When you go out with friends or family, visit places where you can walk around, like a mall, park, or museum, to stimulate your brain."
negative,social,416,"People who are not physically active at least twice a week have a higher risk of dementia. Think about ways people close to you can help you exercise, and ask them!"
negative,social,420,Physical inactivity can lead to low bone density and osteoporosis. Being confined to a wheelchair will make it harder for you to get around and spend time with loved ones.
negative,social,410,You would feel bad for a loved one that was feeling down about their health. Don't put the people around you in that position. Inactivity can reduce your health and mental sharpness.
