onset	duration	trial	trial_type	rating	resp_time	valence	s_ns	id
10.045933961868286	3	1	iti	6	2.225	positive	social	pos_soc_306
13.052474021911621	8	1	message	6	2.225	positive	social	pos_soc_306
21.06932497024536	5	1	rating	6	2.225	positive	social	pos_soc_306
26.09940791130066	3	2	iti	6	3.884	positive	nonsocial	pos_nonsoc_107
29.10280704498291	8	2	message	6	3.884	positive	nonsocial	pos_nonsoc_107
37.11965608596802	5	2	rating	6	3.884	positive	nonsocial	pos_nonsoc_107
42.15244793891907	3	3	iti	7	3.05	negative	nonsocial	neg_nonsoc_205
45.15291690826416	8	3	message	7	3.05	negative	nonsocial	neg_nonsoc_205
53.16992688179016	5	3	rating	7	3.05	negative	nonsocial	neg_nonsoc_205
58.20990991592407	3	4	iti	7	2.484	positive	social	pos_soc_314
61.219736099243164	8	4	message	7	2.484	positive	social	pos_soc_314
69.23685002326965	5	4	rating	7	2.484	positive	social	pos_soc_314
74.27855110168457	3	5	iti	2	2.248	positive	nonsocial	pos_nonsoc_108
77.28690195083618	8	5	message	2	2.248	positive	nonsocial	pos_nonsoc_108
85.30346393585205	5	5	rating	2	2.248	positive	nonsocial	pos_nonsoc_108
90.35713696479797	3	6	iti	7	2.266	positive	social	pos_soc_315
93.37048387527466	8	6	message	7	2.266	positive	social	pos_soc_315
101.37076091766357	5	6	rating	7	2.266	positive	social	pos_soc_315
106.39692497253418	3	7	iti	3	2.749	negative	nonsocial	neg_nonsoc_213
109.40402698516846	8	7	message	3	2.749	negative	nonsocial	neg_nonsoc_213
117.42066097259521	5	7	rating	3	2.749	negative	nonsocial	neg_nonsoc_213
