valence,s_ns,id,message
positive,nonsocial,104,"""Even short walks can help relieve stress and strengthen bones and muscles."""
positive,nonsocial,109,"""The earlier you invest in your health, the more it will pay off by preventing disease and extending your life."""
positive,nonsocial,112,"""Not only does exercise keep the body young, but it also keeps the mind sharp and promotes emotional well-being."""
positive,nonsocial,105,"""Active people tend to live longer than less physically active people. You can live longer and healthier by becoming more active."""
positive,nonsocial,107,"""Physical activity may enhance your balance and make you less likely to experience a fall."""
positive,nonsocial,119,"""It is never too late to start being active. The instant you start exercising, you will have a clearer mind and increased energy levels."""
positive,nonsocial,120,"""Focus on reasons to get up and walk during the day. Walking helps keep your heart and lungs healthy."""
positive,nonsocial,101,"""It is never too late to start taking care of the body you have. You can start lengthening your life and preventing aches and pains from day one!"""
positive,nonsocial,108,"""Walking around for just ten minutes provides many physical and psychological benefits, such as stronger muscles and a better mood!"""
positive,nonsocial,111,"""Regular physical activity will help keep your bones and muscles strong and your joints flexible."""
negative,nonsocial,201,"""People who are insufficiently active have a 20% to 30% increased risk of death compared to people who are sufficiently active."""
negative,nonsocial,217,"""Your body will be with you for decades. If you abuse it, you must be prepared for poor health and a lack of energy."""
negative,nonsocial,205,"""Too much sitting overall and prolonged periods of sitting can increase the risk of death from cardiovascular disease and cancer."""
negative,nonsocial,215,"""Spending lots of time sitting and watching TV makes you more likely to die from heart disease."""
negative,nonsocial,204,"""If you continue sitting most of the time, your muscles will become weak."""
negative,nonsocial,218,"""If you wait to start exercising until ""tomorrow"", tomorrow can turn into weeks, months or years. There's no time to waste. Every day of sedentary living is dangerous for your heart and shortens your life."""
negative,nonsocial,203,"""Lack of physical activity can increase the risks of heart disease, obesity, strokes, diabetes, cancers, and depression."""
negative,nonsocial,209,"""Walking is a gift that not everyone is blessed with. Don't give that gift up."""
negative,nonsocial,206,"""Inadequate levels of physical activity increase the risk of falls as well as hip or vertebral fractures."""
negative,nonsocial,207,"""Take some time to be more active. You'll wish you had more time later on."""
positive,social,301,"""Make sure to stay active so that you maintain your ability to walk comfortably. This mobility will help you stay connected with friends and family as you age."""
positive,social,303,"""It is never too late to start being active. Being active at any age can lengthen your life and give you more time with loved ones."""
positive,social,313,"""You can live longer and enjoy the things you love if you sit less. You will spend more time with the people you love."""
positive,social,312,"""Walking improves mood, relieves stress, and strengthens your muscles. When you go out with friends or family, visit places where you can walk around, like a mall, park, or museum."""
positive,social,305,"""Remaining physically active at any age can help prevent osteoporosis, a common disease that occurs as bones thin with age. Think about maintaining your mobility because it allows you to spend time with your loved ones even as you age."""
positive,social,308,"""Walking helps keep your heart and lungs healthy. Set aside some time to just walk around. You can invite your family and friends to join in as well."""
positive,social,320,"""Being active improves your memory, which can help you remember your happiest moments with friends and family."""
positive,social,316,"""Every minute you invest in your health is another minute you get to spend with your loved ones!"""
positive,social,317,"""Regular exercise helps every part of your body stay healthy, including your muscles, bones, brain, and even your skin. If you plan to exercise with a friend, it becomes a commitment you can't skip. This is a great way to motivate both of you to stay active."""
positive,social,302,"""Physical activity will keep your body healthy, meaning you can maintain your independence as you age. You won't have to rely on help from others to complete daily tasks and bodily functions."""
negative,social,401,"""Physical inactivity can make daily tasks harder to perform, leaving you with no energy to spend time with friends and family."""
negative,social,415,"""If you continue to be sedentary, your bones will weaken faster as you get older. This makes it more difficult to do things you like, such as spending time out with your family."""
negative,social,409,"""Physical inactivity increases the risk of depression and anxiety. Your loved ones want you to be happy as you age."""
negative,social,406,"""An inactive lifestyle can worsen your memory as you get older. You may later struggle to remember the names and faces of loved ones."""
negative,social,407,"""A lack of physical activity can increase the risk of dementia. Not being able to remember your loved ones or moving to a nursing home will be emotionally and financially difficult for your family."""
negative,social,417,"""Inactive people tend to live shorter lives. That means they also have less time to spend with the people they care about most."""
negative,social,402,"""Being sedentary can shrink the brain's memory areas with age. Don't let your recollections of loved ones slip away."""
negative,social,403,"""Losing your independence due to poor health will impose an emotional and financial burden on your loved ones to care for you."""
negative,social,405,"""Sitting in front of a computer or on your phone for a long time can damage your health. Don't let the Internet and phone become your only means of interaction with your friends and family."""
negative,social,414,"""A weak body increases your risk for more severe diseases. You will miss out on fun moments with your loved ones later on."""
